entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_net,reason,mfe_pct,mae_pct,mfe_price,mae_price,cap_after
2025-04-14 16:00,2025-04-15 00:00,1635.3,1627.4,-0.4831,-56.2899,信号离场,3.4122,0.9111,1691.1,1620.4,9943.7101
2025-04-21 10:00,2025-04-21 22:00,1627.6,1610.9,-1.0261,-110.564,信号离场,1.8493,1.0568,1657.7,1610.4,9833.1461
2025-04-22 18:00,2025-04-24 08:00,1625.0,1794.1,10.4062,1032.1991,信号离场,12.9477,0.0,1835.4,1625.0,10865.3452
2025-04-26 04:00,2025-04-26 08:00,1801.2,1783.5,-0.9827,-106.2285,信号离场,0.0,0.9993,1801.2,1783.2,10759.1167
2025-04-27 08:00,2025-04-27 14:00,1819.9,1797.7,-1.2198,-129.9359,信号离场,0.0,1.7199,1819.9,1788.6,10629.1808
2025-04-28 20:00,2025-04-30 06:00,1814.9,1799.5,-0.8485,-92.8192,信号离场,1.4656,3.9451,1841.5,1743.3,10536.3616
2025-05-01 10:00,2025-05-02 14:00,1810.2,1831.2,1.1601,107.9629,信号离场,3.4361,0.4585,1872.4,1801.9,10644.3245
2025-05-04 14:00,2025-05-04 18:00,1845.3,1827.4,-0.97,-104.9644,信号离场,0.0,1.2139,1845.3,1822.9,10539.3601
2025-05-07 08:00,2025-05-08 00:00,1816.6,1817.0,0.022,-5.799,信号离场,1.6349,0.1156,1846.3,1814.5,10533.5611
2025-05-08 10:00,2025-05-10 10:00,1822.7,2337.0,28.2164,2812.5096,信号离场,36.7148,0.0,2491.9,1822.7,13346.0707
2025-05-11 06:00,2025-05-11 14:00,2538.4,2556.6,0.717,63.67,信号离场,2.6986,1.1031,2606.9,2510.4,13409.7407
2025-05-14 00:00,2025-05-14 18:00,2566.1,2608.1,1.6367,155.607,信号离场,6.7885,0.0,2740.3,2566.1,13565.3477
2025-05-16 14:00,2025-05-17 02:00,2594.8,2577.9,-0.6513,-73.1042,信号离场,2.0503,1.4336,2648.0,2557.6,13492.2435
2025-05-20 00:00,2025-05-20 20:00,2468.4,2515.0,1.8879,180.7107,信号离场,4.9749,0.0,2591.2,2468.4,13672.9542
2025-05-21 08:00,2025-05-21 18:00,2525.9,2525.2,-0.0277,-10.7702,信号离场,3.6462,0.5503,2618.0,2512.0,13662.184
2025-05-22 10:00,2025-05-23 16:00,2575.6,2657.3,3.1721,309.0808,信号离场,6.3558,0.0,2739.3,2575.6,13971.2648
2025-05-29 10:00,2025-05-29 22:00,2713.4,2660.5,-1.9496,-202.8804,信号离场,2.0049,2.2555,2767.8,2652.2,13768.3844
2025-06-04 18:00,2025-06-04 22:00,2643.3,2615.1,-1.0668,-114.6422,信号离场,0.0,1.3241,2643.3,2608.3,13653.7422
2025-06-09 20:00,2025-06-11 18:00,2541.9,2759.1,8.5448,846.1371,信号离场,11.6016,1.074,2836.8,2514.6,14499.8793
2025-06-26 14:00,2025-06-26 20:00,2474.4,2448.9,-1.0306,-111.0141,信号离场,0.9861,1.4428,2498.8,2438.7,14388.8652
2025-06-29 00:00,2025-06-29 10:00,2435.6,2429.4,-0.2546,-33.4456,信号离场,0.3367,0.3695,2443.8,2426.6,14355.4196
2025-06-30 08:00,2025-06-30 18:00,2500.4,2451.3,-1.9637,-204.29,信号离场,0.4239,1.9837,2511.0,2450.8,14151.1296
2025-07-01 02:00,2025-07-01 12:00,2487.7,2485.2,-0.1005,-18.0454,信号离场,1.3788,0.4422,2522.0,2476.7,14133.0842
2025-07-02 18:00,2025-07-04 00:00,2447.4,2570.1,5.0135,493.1478,信号离场,7.6857,0.711,2635.5,2430.0,14626.232
2025-07-08 20:00,2025-07-12 00:00,2575.7,2954.0,14.6873,1460.1395,信号离场,18.131,0.6755,3042.7,2558.3,16086.3715
2025-07-14 12:00,2025-07-15 00:00,3041.0,3014.7,-0.8648,-94.4501,信号离场,1.4469,1.5028,3085.0,2995.3,15991.9214
2025-07-16 00:00,2025-07-18 04:00,3041.9,3414.2,12.2391,1215.4165,信号离场,14.4909,0.2926,3482.7,3033.0,17207.3379
2025-07-18 10:00,2025-07-19 00:00,3622.7,3566.2,-1.5596,-163.8986,信号离场,1.5265,2.5865,3678.0,3529.0,17043.4393
2025-07-20 16:00,2025-07-21 10:00,3670.8,3727.8,1.5528,147.2174,信号离场,4.3124,0.0,3829.1,3670.8,17190.6567
2025-07-21 22:00,2025-07-22 02:00,3823.8,3773.1,-1.3259,-140.5376,信号离场,0.0,2.2098,3823.8,3739.3,17050.1191
2025-07-24 20:00,2025-07-25 12:00,3655.6,3597.1,-1.6003,-167.9644,信号离场,3.2307,2.2048,3773.7,3575.0,16882.1547
2025-07-25 18:00,2025-07-26 00:00,3730.2,3636.7,-2.5066,-258.5565,信号离场,0.2091,3.4127,3738.0,3602.9,16623.5982
2025-07-26 06:00,2025-07-27 02:00,3723.4,3727.2,0.1021,2.2016,信号离场,1.6786,0.5237,3785.9,3703.9,16625.7998
2025-07-31 10:00,2025-07-31 22:00,3837.3,3808.4,-0.7531,-83.2832,信号离场,1.0789,1.3499,3878.7,3785.5,16542.5166
2025-08-07 02:00,2025-08-10 12:00,3681.0,4245.2,15.3274,1524.1226,信号离场,17.7642,0.9698,4334.9,3645.3,18066.6392
2025-08-12 22:00,2025-08-14 10:00,4386.7,4725.7,7.7279,764.4814,信号离场,9.1435,0.0,4787.8,4386.7,18831.1206
2025-08-22 14:00,2025-08-22 20:00,4294.2,4277.4,-0.3912,-47.1069,信号离场,1.4927,0.4331,4358.3,4275.6,18784.0137
2025-08-28 16:00,2025-08-29 00:00,4597.0,4503.4,-2.0361,-211.5296,信号离场,0.3589,2.4581,4613.5,4484.0,18572.4841
2025-09-02 18:00,2025-09-03 00:00,4397.6,4293.8,-2.3604,-243.9434,信号离场,0.0,2.8857,4397.6,4270.7,18328.5407
2025-09-05 16:00,2025-09-06 00:00,4415.0,4281.7,-3.0193,-309.8045,信号离场,1.7373,3.6829,4491.7,4252.4,18018.7362
2025-09-09 14:00,2025-09-10 00:00,4318.6,4285.0,-0.778,-85.7719,信号离场,1.13,0.954,4367.4,4277.4,17932.9643
2025-09-10 16:00,2025-09-11 04:00,4330.6,4323.4,-0.1663,-24.6192,信号离场,2.831,0.6927,4453.2,4300.6,17908.3451
2025-10-01 18:00,2025-10-03 16:00,4309.9,4462.6,3.543,346.1588,信号离场,5.8006,0.6938,4559.9,4280.0,18254.5039
2025-10-05 14:00,2025-10-06 00:00,4568.9,4533.7,-0.7704,-85.0118,信号离场,1.0747,0.963,4618.0,4524.9,18169.4921
2025-10-06 20:00,2025-10-08 00:00,4574.4,4515.2,-1.2942,-137.3641,信号离场,4.0049,2.0265,4757.6,4481.7,18032.128
2025-10-15 16:00,2025-10-15 20:00,4121.1,4099.7,-0.5193,-59.9071,信号离场,0.876,0.825,4157.2,4087.1,17972.2209
2025-10-16 20:00,2025-10-17 00:00,4061.5,3904.7,-3.8606,-393.9098,信号离场,0.0,4.2201,4061.5,3890.1,17578.3111
2025-10-22 02:00,2025-10-22 06:00,4014.4,3943.8,-1.7587,-183.7965,信号离场,0.0,3.044,4014.4,3892.2,17394.5146
2025-10-26 04:00,2025-10-26 10:00,3957.7,3933.4,-0.614,-69.3747,信号离场,0.2021,0.95,3965.7,3920.1,17325.1399
2025-10-26 18:00,2025-10-28 06:00,3988.1,4116.6,3.2221,314.0797,信号离场,6.6924,0.0,4255.0,3988.1,17639.2196
2025-11-03 08:00,2025-11-06 14:00,3904.6,3387.8,-13.2357,-1331.0376,信号离场,0.0,21.6949,3904.6,3057.5,16308.182
2025-11-08 02:00,2025-11-08 20:00,3384.5,3412.6,0.8303,74.9923,信号离场,2.999,0.0,3486.0,3384.5,16383.1743
2025-11-09 20:00,2025-11-11 00:00,3428.1,3519.9,2.6779,259.6797,信号离场,6.7297,0.0,3658.8,3428.1,16642.854
2025-11-12 22:00,2025-11-13 02:00,3575.5,3427.9,-4.1281,-420.6443,信号离场,0.0,5.7391,3575.5,3370.3,16222.2097
2025-11-13 14:00,2025-11-13 22:00,3527.4,3436.4,-2.5798,-265.8772,信号离场,0.5925,2.903,3548.3,3425.0,15956.3325
2025-11-17 12:00,2025-11-17 22:00,3177.9,3123.3,-1.7181,-179.7428,信号离场,1.4286,2.574,3223.3,3096.1,15776.5897
2025-11-26 08:00,2025-11-26 12:00,2958.9,2926.6,-1.0916,-117.1185,信号离场,0.5779,1.2572,2976.0,2921.7,15659.4712
2025-11-27 02:00,2025-11-27 22:00,3026.2,2994.3,-1.0541,-113.3706,信号离场,1.4672,1.302,3070.6,2986.8,15546.1006
2025-11-29 00:00,2025-11-29 06:00,3072.0,3035.3,-1.1947,-127.4184,信号离场,0.0,1.5788,3072.0,3023.5,15418.6822
2025-11-30 22:00,2025-12-01 08:00,3047.6,2990.1,-1.8867,-196.5976,信号离场,0.0295,1.9359,3048.5,2988.6,15222.0846
2025-12-10 00:00,2025-12-11 06:00,3245.6,3339.9,2.9055,282.431,信号离场,6.2454,0.0,3448.3,3245.6,15504.5156
2025-12-12 16:00,2025-12-13 00:00,3248.3,3076.4,-5.292,-536.9882,信号离场,0.2986,5.6122,3258.0,3066.0,14967.5274
2025-12-22 10:00,2025-12-23 04:00,3017.5,2979.0,-1.2759,-135.538,信号离场,1.9089,1.5046,3075.1,2972.1,14831.9894
2025-12-26 12:00,2025-12-27 00:00,2963.3,2922.2,-1.387,-146.6412,信号离场,0.9516,2.3454,2991.5,2893.8,14685.3482
2025-12-30 18:00,2025-12-31 12:00,2984.9,2970.0,-0.4992,-57.898,信号离场,0.7906,1.3635,3008.5,2944.2,14627.4502
2026-01-02 02:00,2026-01-03 16:00,2990.4,3089.4,3.3106,322.927,信号离场,5.2769,0.1271,3148.2,2986.6,14950.3772
2026-01-04 12:00,2026-01-04 16:00,3146.6,3140.0,-0.2098,-28.9666,信号离场,0.5053,0.4131,3162.5,3133.6,14921.4106
2026-01-05 10:00,2026-01-05 14:00,3196.3,3148.3,-1.5017,-158.1136,信号离场,0.0,1.5518,3196.3,3146.7,14763.297
2026-01-06 02:00,2026-01-06 18:00,3211.0,3221.9,0.3395,25.9322,信号离场,1.6381,0.2803,3263.6,3202.0,14789.2292
2026-01-07 08:00,2026-01-07 14:00,3295.9,3247.4,-1.4715,-155.0937,信号离场,0.0,1.7173,3295.9,3239.3,14634.1355
2026-01-13 00:00,2026-01-15 10:00,3129.4,3324.2,6.2248,614.2345,信号离场,8.7525,1.4763,3403.3,3083.2,15248.37
2026-01-18 00:00,2026-01-18 10:00,3329.2,3300.3,-0.8681,-94.7729,信号离场,0.0,1.0093,3329.2,3295.6,15153.5971
2026-02-10 04:00,2026-02-10 12:00,2130.7,2064.1,-3.1257,-320.4483,信号离场,0.0,3.6655,2130.7,2052.6,14833.1488
2026-02-17 06:00,2026-02-17 14:00,1998.4,1974.8,-1.1809,-126.0472,信号离场,0.5104,1.7414,2008.6,1963.6,14707.1016
2026-02-19 16:00,2026-02-20 20:00,1981.1,1942.7,-1.9383,-201.7542,信号离场,0.0,3.7959,1981.1,1905.9,14505.3474
2026-03-01 04:00,2026-03-02 02:00,1946.1,1960.4,0.7348,65.4509,信号离场,5.5496,0.1387,2054.1,1943.4,14570.7983
2026-03-03 00:00,2026-03-03 14:00,2046.5,1992.9,-2.6191,-269.8058,信号离场,0.5522,2.883,2057.8,1987.5,14300.9925
2026-03-04 18:00,2026-03-05 16:00,2074.3,2104.2,1.4415,136.0874,信号离场,5.9972,1.8368,2198.7,2036.2,14437.0799
2026-03-12 02:00,2026-03-12 10:00,2067.0,2045.1,-1.0595,-113.9083,信号离场,0.7789,1.2046,2083.1,2042.1,14323.1716
2026-03-12 22:00,2026-03-14 02:00,2064.3,2101.8,1.8166,173.587,信号离场,6.874,1.0028,2206.2,2043.6,14496.7586
2026-03-15 14:00,2026-03-15 22:00,2106.9,2096.4,-0.4984,-57.8163,信号离场,0.7404,1.0299,2122.5,2085.2,14438.9423
2026-03-23 20:00,2026-03-24 14:00,2133.2,2132.7,-0.0234,-10.343,信号离场,2.7189,0.7735,2191.2,2116.7,14428.5993
2026-03-25 10:00,2026-03-26 00:00,2155.8,2161.8,0.2783,19.8208,信号离场,1.9853,0.4128,2198.6,2146.9,14448.4201
2026-03-31 22:00,2026-04-02 10:00,2073.9,2098.4,1.1813,110.0877,信号离场,4.4843,0.9981,2166.9,2053.2,14558.5078
2026-04-06 02:00,2026-04-07 08:00,2061.1,2106.2,2.1882,210.7277,信号离场,5.4146,0.5919,2172.7,2048.9,14769.2355
2026-04-08 08:00,2026-04-09 00:00,2239.6,2215.2,-1.0895,-116.9044,信号离场,1.344,2.3844,2269.7,2186.2,14652.3311
2026-04-11 00:00,2026-04-11 14:00,2222.7,2232.0,0.4184,33.8243,信号离场,1.4982,0.0,2256.0,2222.7,14686.1554
2026-04-12 02:00,2026-04-12 10:00,2258.7,2217.8,-1.8108,-189.0052,信号离场,2.5457,2.2491,2316.2,2207.9,14497.1502
